dust RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry   GamA    GamB       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  527.1   00  1.5598 -1.634e-03  0.800  0.900    0.20  2.6250  0.962  0.818  0.966  0.727  1.000  2.180  3.249  3.514  4.396  4.401  4.953  4.762
  399.8   00  1.5800 -3.619e-03  0.800  0.900    0.20  2.3413  0.858  0.818  0.907  0.741  1.000  2.223  3.181  3.373  4.153  4.301  5.048  5.210
  329.1   00  1.6010 -5.361e-03  0.800  0.900    0.20  2.3207  0.851  0.818  0.837  0.770  1.000  2.309  3.352  3.776  4.734  5.124  6.015  6.299
  229.8   00  1.5191 -3.320e-02  0.800  0.900    0.20  2.2535  0.826  0.818  0.535  0.926  1.000  2.779  4.378  5.860  7.238  8.548  9.724 10.822
 7082.2   00  1.4680 -1.212e-01  0.800  0.900    0.20  0.2774  0.101  0.818  0.240  0.116  1.000  0.348  0.523  0.066  0.004  0.000  0.000  0.000
  300.0   00  1.6000 -8.701e-03  1.500  0.900    0.20  2.1925  0.416  1.491  0.694  0.861  1.000  2.582  3.893  4.901  6.101  7.097  8.288  9.215
  400.0   00  1.5800 -3.600e-03  1.500  0.900    0.20  2.2457  0.426  1.491  0.860  0.793  1.000  2.380  3.497  3.982  5.010  5.498  6.555  7.020
  440.0   00  1.5756 -2.759e-03  1.500  0.900    0.20  2.2701  0.430  1.491  0.893  0.780  1.000  2.340  3.435  3.834  4.826  5.194  6.200  6.569
  500.0   00  1.5640 -1.800e-03  1.500  0.900    0.20  2.2311  0.423  1.491  0.933  0.751  1.000  2.254  3.307  3.553  4.516  4.696  5.586  5.720
  550.0   00  1.5580 -1.400e-03  1.500  0.900    0.20  2.3682  0.449  1.491  0.953  0.752  1.000  2.256  3.339  3.617  4.635  4.902  5.843  6.053
  600.0   00  1.5530 -1.100e-03  1.500  0.900    0.20  2.3919  0.454  1.491  0.964  0.746  1.000  2.237  3.288  3.523  4.492  4.768  5.704  5.996
  675.0   00  1.5278 -4.597e-03  1.500  0.900    0.20  2.1991  0.417  1.491  0.873  0.758  1.000  2.276  3.222  3.417  4.057  4.176  4.781  5.018
  800.0   00  1.5300 -4.000e-03  1.500  0.900    0.20  2.4811  0.471  1.491  0.909  0.770  1.000  2.310  3.375  3.717  4.466  4.537  5.043  5.045
  870.0   00  1.5301 -4.265e-03  1.500  0.900    0.20  2.6861  0.510  1.491  0.915  0.776  1.000  2.330  3.476  3.942  4.838  5.019  5.580  5.579
 1000.0   00  1.5300 -1.000e-03  1.500  0.900    0.20  2.6284  0.499  1.491  0.980  0.710  1.000  2.131  3.233  3.494  4.484  4.576  5.164  5.046
 1020.0   00  1.5300 -6.722e-04  1.500  0.900    0.20  2.5802  0.490  1.491  0.986  0.694  1.000  2.084  3.158  3.354  4.333  4.392  4.972  4.837
55555.6   00  2.4200 -6.200e-01  1.500  0.900    0.20  0.1735  0.033  1.491  0.039  0.023  1.000  0.070  0.501  0.008  0.000  0.000  0.000  0.000
23529.4   00  2.8810 -9.354e-01  1.500  0.900    0.20  0.3644  0.069  1.491  0.132  0.061  1.000  0.184  0.504  0.016  0.000  0.000  0.000  0.000
17699.1   00  1.6276 -4.238e-01  1.500  0.900    0.20  0.5067  0.096  1.491  0.081  0.062  1.000  0.185  0.506  0.033  0.001  0.000  0.000  0.000
15037.6   00  1.5047 -2.635e-01  1.500  0.900    0.20  0.4250  0.081  1.491  0.108  0.082  1.000  0.248  0.512  0.047  0.002  0.000  0.000  0.000
13157.9   00  2.0100 -3.089e-01  1.500  0.900    0.20  0.6692  0.127  1.491  0.320  0.143  1.000  0.431  0.526  0.054  0.003  0.000  0.000  0.000
11111.1   00  1.8279 -2.169e-01  1.500  0.900    0.20  0.7414  0.141  1.491  0.409  0.188  1.000  0.563  0.548  0.079  0.006  0.000  0.000  0.000
 9708.7   00  3.0062 -6.774e-01  1.500  0.900    0.20  3.5065  0.666  1.491  0.491  0.262  1.000  0.785  0.554  0.076  0.007  0.000  0.000  0.000
 8849.6   00  1.4979 -3.619e-01  1.500  0.900    0.20  1.2360  0.234  1.491  0.249  0.263  1.000  0.788  0.610  0.151  0.019  0.001  0.000  0.000
 7782.1   00  1.2660 -9.247e-02  1.500  0.900    0.20  0.4280  0.082  1.491  0.262  0.298  1.000  0.894  0.665  0.203  0.032  0.003  0.000  0.000
 6968.6   00  1.4646 -1.067e-01  1.500  0.900    0.20  0.8344  0.158  1.491  0.540  0.420  1.000  1.259  0.800  0.256  0.049  0.006  0.000  0.000
 6097.6   00  1.4354 -6.038e-02  1.500  0.900    0.20  0.8645  0.164  1.491  0.651  0.526  1.000  1.579  1.011  0.363  0.087  0.012  0.001  0.000
 5154.6   00  1.4734 -2.312e-02  1.500  0.900    0.20  1.3055  0.247  1.491  0.873  0.625  1.000  1.876  1.364  0.545  0.172  0.033  0.005  0.001
 4618.9   00  1.4966 -1.028e-02  1.500  0.900    0.20  1.7843  0.338  1.491  0.949  0.638  1.000  1.914  1.586  0.747  0.287  0.066  0.011  0.002
 4319.7   00  1.5022 -6.666e-03  1.500  0.900    0.20  2.0585  0.391  1.491  0.969  0.648  1.000  1.942  1.758  0.962  0.413  0.104  0.020  0.003
 4016.1   00  1.5002 -6.515e-03  1.500  0.900    0.20  2.3145  0.439  1.491  0.971  0.668  1.000  2.006  1.982  1.269  0.601  0.167  0.037  0.006
 3418.8   00  1.5103 -1.895e-02  1.500  0.900    0.20  3.0351  0.576  1.491  0.923  0.729  1.000  2.186  2.461  1.994  1.155  0.456  0.161  0.036
 3444.7   00  1.5104 -1.870e-02  1.500  0.900    0.20  3.0051  0.570  1.491  0.924  0.727  1.000  2.180  2.443  1.963  1.125  0.434  0.151  0.033
 2777.0   00  1.5228 -3.478e-02  1.500  0.900    0.20  3.7352  0.709  1.491  0.871  0.763  1.000  2.286  2.867  2.757  2.194  1.476  0.751  0.243
 2320.2   00  1.5226 -7.818e-03  1.500  0.900    0.20  4.0754  0.774  1.491  0.956  0.742  1.000  2.226  2.963  3.025  2.864  2.438  1.727  1.054
 2044.2   00  1.5294 -7.515e-03  1.500  0.900    0.20  3.8615  0.733  1.491  0.953  0.716  1.000  2.147  2.916  2.987  3.059  2.875  2.449  1.931
 1778.4   00  1.5301 -6.588e-03  1.500  0.900    0.20  3.2481  0.616  1.491  0.944  0.665  1.000  1.994  2.714  2.665  2.881  2.845  2.794  2.646
 1455.2   00  1.5300 -5.847e-03  1.500  0.900    0.20  2.2580  0.428  1.491  0.911  0.545  1.000  1.634  2.189  1.693  2.061  1.952  2.237  2.417
 1270.3   00  1.5300 -5.362e-03  1.500  0.900    0.20  2.0014  0.380  1.491  0.897  0.539  1.000  1.616  2.222  1.709  2.289  2.087  2.467  2.437
  944.3   00  1.5300 -2.757e-03  1.500  0.900    0.20  2.7221  0.517  1.491  0.948  0.750  1.000  2.251  3.403  3.817  4.802  4.979  5.571  5.518
  693.5   00  1.5294 -4.138e-03  1.500  0.900    0.20  2.1986  0.417  1.491  0.886  0.753  1.000  2.261  3.196  3.357  3.972  4.023  4.579  4.741
  527.1   00  1.5598 -1.634e-03  1.500  0.900    0.20  2.2960  0.435  1.491  0.943  0.751  1.000  2.252  3.320  3.578  4.568  4.782  5.688  5.840
  399.8   00  1.5800 -3.619e-03  1.500  0.900    0.20  2.2458  0.426  1.491  0.860  0.793  1.000  2.380  3.498  3.984  5.013  5.502  6.559  7.025
  329.1   00  1.6010 -5.361e-03  1.500  0.900    0.20  2.2253  0.422  1.491  0.753  0.836  1.000  2.508  3.726  4.539  5.663  6.468  7.591  8.329
  229.8   00  1.5191 -3.320e-02  1.500  0.900    0.20  2.1779  0.414  1.491  0.517  0.953  1.000  2.858  4.664  6.416  8.081  9.710 11.249 12.754
 7082.2   00  1.4680 -1.212e-01  1.500  0.900    0.20  0.8707  0.165  1.491  0.494  0.409  1.000  1.226  0.783  0.247  0.046  0.005  0.000  0.000
  300.0   00  1.6000 -8.701e-03  2.500  0.900    0.20  2.1427  0.251  2.417  0.627  0.899  1.000  2.698  4.194  5.526  6.930  8.263  9.655 10.931
  400.0   00  1.5800 -3.600e-03  2.500  0.900    0.20  2.1881  0.256  2.417  0.805  0.831  1.000  2.493  3.713  4.426  5.563  6.301  7.494  8.213
  440.0   00  1.5756 -2.759e-03  2.500  0.900    0.20  2.2232  0.260  2.417  0.850  0.817  1.000  2.451  3.640  4.240  5.346  5.978  7.152  7.776
  500.0   00  1.5640 -1.800e-03  2.500  0.900    0.20  2.1613  0.253  2.417  0.902  0.788  1.000  2.363  3.481  3.872  4.901  5.294  6.375  6.792
  550.0   00  1.5580 -1.400e-03  2.500  0.900    0.20  2.2699  0.266  2.417  0.930  0.786  1.000  2.357  3.499  3.897  4.971  5.373  6.463  6.862
  600.0   00  1.5530 -1.100e-03  2.500  0.900    0.20  2.1559  0.252  2.417  0.944  0.764  1.000  2.293  3.361  3.606  4.583  4.849  5.859  6.157
  675.0   00  1.5278 -4.597e-03  2.500  0.900    0.20  2.3252  0.272  2.417  0.837  0.822  1.000  2.464  3.658  4.285  5.294  5.861  6.839  7.441
  800.0   00  1.5300 -4.000e-03  2.500  0.900    0.20  2.2184  0.260  2.417  0.866  0.778  1.000  2.333  3.430  3.822  4.783  5.125  5.970  6.251
  870.0   00  1.5301 -4.265e-03  2.500  0.900    0.20  2.4036  0.282  2.417  0.877  0.789  1.000  2.368  3.510  4.000  5.026  5.520  6.467  6.916
 1000.0   00  1.5300 -1.000e-03  2.500  0.900    0.20  2.3256  0.272  2.417  0.967  0.747  1.000  2.240  3.250  3.432  4.267  4.496  5.334  5.694
 1020.0   00  1.5300 -6.722e-04  2.500  0.900    0.20  2.2938  0.268  2.417  0.975  0.740  1.000  2.220  3.205  3.336  4.128  4.295  5.093  5.408
55555.6   00  2.4200 -6.200e-01  2.500  0.900    0.20  0.3691  0.043  2.417  0.132  0.060  1.000  0.180  0.504  0.020  0.000  0.000  0.000  0.000
23529.4   00  2.8810 -9.354e-01  2.500  0.900    0.20  1.2094  0.142  2.417  0.309  0.152  1.000  0.455  0.520  0.040  0.002  0.000  0.000  0.000
17699.1   00  1.6276 -4.238e-01  2.500  0.900    0.20  1.0673  0.125  2.417  0.225  0.169  1.000  0.506  0.544  0.087  0.007  0.000  0.000  0.000
15037.6   00  1.5047 -2.635e-01  2.500  0.900    0.20  0.9075  0.106  2.417  0.269  0.230  1.000  0.689  0.586  0.127  0.014  0.001  0.000  0.000
13157.9   00  2.0100 -3.089e-01  2.500  0.900    0.20  2.2120  0.259  2.417  0.504  0.403  1.000  1.211  0.675  0.147  0.020  0.002  0.000  0.000
11111.1   00  1.8279 -2.169e-01  2.500  0.900    0.20  2.2345  0.261  2.417  0.567  0.507  1.000  1.520  0.838  0.240  0.049  0.006  0.000  0.000
 9708.7   00  3.0062 -6.774e-01  2.500  0.900    0.20  3.0813  0.361  2.417  0.455  0.463  1.000  1.390  0.837  0.590  0.303  0.042  0.005  0.000
 8849.6   00  1.4979 -3.619e-01  2.500  0.900    0.20  2.0481  0.240  2.417  0.364  0.593  1.000  1.778  1.268  0.619  0.209  0.040  0.005  0.001
 7782.1   00  1.2660 -9.247e-02  2.500  0.900    0.20  0.8733  0.102  2.417  0.415  0.664  1.000  1.992  1.567  0.766  0.273  0.063  0.011  0.001
 6968.6   00  1.4646 -1.067e-01  2.500  0.900    0.20  1.9620  0.230  2.417  0.664  0.689  1.000  2.067  1.919  1.079  0.453  0.122  0.023  0.003
 6097.6   00  1.4354 -6.038e-02  2.500  0.900    0.20  2.1067  0.246  2.417  0.756  0.725  1.000  2.176  2.304  1.602  0.799  0.264  0.068  0.013
 5154.6   00  1.4734 -2.312e-02  2.500  0.900    0.20  3.0413  0.356  2.417  0.904  0.758  1.000  2.273  2.652  2.281  1.441  0.654  0.253  0.063
 4618.9   00  1.4966 -1.028e-02  2.500  0.900    0.20  3.5930  0.420  2.417  0.956  0.749  1.000  2.246  2.799  2.581  1.958  1.209  0.590  0.170
 4319.7   00  1.5022 -6.666e-03  2.500  0.900    0.20  3.8841  0.455  2.417  0.970  0.750  1.000  2.250  2.888  2.789  2.316  1.637  0.878  0.301
 4016.1   00  1.5002 -6.515e-03  2.500  0.900    0.20  4.0659  0.476  2.417  0.970  0.758  1.000  2.276  2.972  3.006  2.664  2.069  1.232  0.542
 3418.8   00  1.5103 -1.895e-02  2.500  0.900    0.20  3.9147  0.458  2.417  0.901  0.756  1.000  2.269  3.073  3.228  3.234  2.966  2.409  1.765
 3444.7   00  1.5104 -1.870e-02  2.500  0.900    0.20  3.9232  0.459  2.417  0.903  0.756  1.000  2.270  3.070  3.220  3.210  2.924  2.350  1.699
 2777.0   00  1.5228 -3.478e-02  2.500  0.900    0.20  2.9851  0.350  2.417  0.773  0.716  1.000  2.151  2.906  3.060  3.280  3.380  3.354  3.302
 2320.2   00  1.5226 -7.818e-03  2.500  0.900    0.20  2.2778  0.267  2.417  0.860  0.562  1.000  1.686  2.240  1.820  2.193  2.106  2.394  2.550
 2044.2   00  1.5294 -7.515e-03  2.500  0.900    0.20  1.9758  0.232  2.417  0.853  0.539  1.000  1.617  2.216  1.740  2.346  2.115  2.553  2.437
 1778.4   00  1.5301 -6.588e-03  2.500  0.900    0.20  2.3234  0.272  2.417  0.878  0.666  1.000  1.997  2.973  3.069  3.973  4.000  4.547  4.342
 1455.2   00  1.5300 -5.847e-03  2.500  0.900    0.20  2.7464  0.321  2.417  0.891  0.786  1.000  2.357  3.539  4.088  5.038  5.279  5.861  5.877
 1270.3   00  1.5300 -5.362e-03  2.500  0.900    0.20  2.3904  0.279  2.417  0.876  0.773  1.000  2.319  3.347  3.673  4.349  4.395  4.851  4.848
  944.3   00  1.5300 -2.757e-03  2.500  0.900    0.20  2.4263  0.284  2.417  0.923  0.774  1.000  2.321  3.417  3.797  4.760  5.187  6.124  6.598
  693.5   00  1.5294 -4.138e-03  2.500  0.900    0.20  2.2828  0.267  2.417  0.852  0.809  1.000  2.425  3.588  4.133  5.117  5.595  6.531  7.031
  527.1   00  1.5598 -1.634e-03  2.500  0.900    0.20  2.2317  0.261  2.417  0.916  0.789  1.000  2.365  3.503  3.910  4.970  5.374  6.461  6.874
  399.8   00  1.5800 -3.619e-03  2.500  0.900    0.20  2.1880  0.256  2.417  0.805  0.831  1.000  2.493  3.714  4.428  5.566  6.305  7.498  8.219
  329.1   00  1.6010 -5.361e-03  2.500  0.900    0.20  2.1607  0.253  2.417  0.677  0.879  1.000  2.637  4.021  5.157  6.447  7.606  8.914 10.026
  229.8   00  1.5191 -3.320e-02  2.500  0.900    0.20  2.1256  0.249  2.417  0.527  0.954  1.000  2.861  4.701  6.498  8.241  9.953 11.615 13.249
 7082.2   00  1.4680 -1.212e-01  2.500  0.900    0.20  1.9717  0.231  2.417  0.624  0.688  1.000  2.065  1.885  1.046  0.433  0.115  0.022  0.003
  300.0   00  1.6000 -8.701e-03  4.000  0.900    0.20  2.1045  0.160  3.721  0.582  0.923  1.000  2.769  4.422  5.990  7.568  9.129 10.687 12.200
  400.0   00  1.5800 -3.600e-03  4.000  0.900    0.20  2.1191  0.161  3.721  0.742  0.860  1.000  2.580  3.887  4.812  6.027  7.005  8.295  9.268
  440.0   00  1.5756 -2.759e-03  4.000  0.900    0.20  2.1222  0.162  3.721  0.792  0.841  1.000  2.523  3.766  4.521  5.673  6.483  7.727  8.543
  500.0   00  1.5640 -1.800e-03  4.000  0.900    0.20  2.1338  0.162  3.721  0.865  0.817  1.000  2.450  3.636  4.184  5.281  5.874  7.068  7.686
  550.0   00  1.5580 -1.400e-03  4.000  0.900    0.20  2.1247  0.162  3.721  0.897  0.803  1.000  2.409  3.562  4.009  5.070  5.556  6.708  7.235
  600.0   00  1.5530 -1.100e-03  4.000  0.900    0.20  2.2094  0.168  3.721  0.925  0.801  1.000  2.402  3.575  4.016  5.102  5.567  6.724  7.229
  675.0   00  1.5278 -4.597e-03  4.000  0.900    0.20  2.2014  0.167  3.721  0.778  0.849  1.000  2.547  3.807  4.600  5.695  6.494  7.621  8.455
  800.0   00  1.5300 -4.000e-03  4.000  0.900    0.20  2.2790  0.173  3.721  0.829  0.831  1.000  2.492  3.724  4.406  5.501  6.179  7.267  7.947
  870.0   00  1.5301 -4.265e-03  4.000  0.900    0.20  2.1793  0.165  3.721  0.822  0.818  1.000  2.452  3.616  4.189  5.192  5.779  6.797  7.399
 1000.0   00  1.5300 -1.000e-03  4.000  0.900    0.20  2.3460  0.178  3.721  0.956  0.786  1.000  2.357  3.499  3.879  4.866  5.226  6.227  6.696
 1020.0   00  1.5300 -6.722e-04  4.000  0.900    0.20  2.3796  0.181  3.721  0.972  0.783  1.000  2.349  3.496  3.866  4.863  5.204  6.205  6.656
55555.6   00  2.4200 -6.200e-01  4.000  0.900    0.20  0.9692  0.074  3.721  0.299  0.144  1.000  0.431  0.521  0.044  0.002  0.000  0.000  0.000
23529.4   00  2.8810 -9.354e-01  4.000  0.900    0.20  3.3897  0.258  3.721  0.469  0.232  1.000  0.696  0.553  0.088  0.009  0.001  0.000  0.000
17699.1   00  1.6276 -4.238e-01  4.000  0.900    0.20  1.9498  0.148  3.721  0.366  0.432  1.000  1.295  0.784  0.259  0.050  0.006  0.000  0.000
15037.6   00  1.5047 -2.635e-01  4.000  0.900    0.20  1.6831  0.128  3.721  0.400  0.551  1.000  1.654  1.045  0.409  0.106  0.016  0.002  0.000
13157.9   00  2.0100 -3.089e-01  4.000  0.900    0.20  3.2690  0.249  3.721  0.569  0.588  1.000  1.764  1.291  0.741  0.285  0.049  0.006  0.001
11111.1   00  1.8279 -2.169e-01  4.000  0.900    0.20  3.3849  0.258  3.721  0.613  0.670  1.000  2.010  1.880  1.284  0.574  0.139  0.028  0.004
 9708.7   00  3.0062 -6.774e-01  4.000  0.900    0.20  2.8698  0.218  3.721  0.508  0.636  1.000  1.907  2.079  1.481  0.926  0.540  0.200  0.044
 8849.6   00  1.4979 -3.619e-01  4.000  0.900    0.20  2.4418  0.186  3.721  0.424  0.763  1.000  2.289  2.677  2.174  1.314  0.607  0.204  0.047
 7782.1   00  1.2660 -9.247e-02  4.000  0.900    0.20  1.4906  0.114  3.721  0.538  0.807  1.000  2.423  2.901  2.471  1.545  0.729  0.268  0.074
 6968.6   00  1.4646 -1.067e-01  4.000  0.900    0.20  3.0885  0.234  3.721  0.696  0.810  1.000  2.430  3.095  3.008  2.383  1.490  0.702  0.228
 6097.6   00  1.4354 -6.038e-02  4.000  0.900    0.20  3.3229  0.253  3.721  0.775  0.823  1.000  2.469  3.249  3.389  3.008  2.303  1.364  0.608
 5154.6   00  1.4734 -2.312e-02  4.000  0.900    0.20  3.8803  0.295  3.721  0.888  0.787  1.000  2.361  3.210  3.461  3.451  3.179  2.562  1.848
 4618.9   00  1.4966 -1.028e-02  4.000  0.900    0.20  3.7289  0.284  3.721  0.930  0.736  1.000  2.209  3.031  3.187  3.344  3.282  3.058  2.708
 4319.7   00  1.5022 -6.666e-03  4.000  0.900    0.20  3.3815  0.258  3.721  0.945  0.689  1.000  2.067  2.850  2.885  3.093  3.105  3.048  2.978
 4016.1   00  1.5002 -6.515e-03  4.000  0.900    0.20  2.9716  0.226  3.721  0.935  0.654  1.000  1.964  2.685  2.608  2.842  2.905  2.956  3.110
 3418.8   00  1.5103 -1.895e-02  4.000  0.900    0.20  2.2055  0.168  3.721  0.748  0.597  1.000  1.793  2.361  2.051  2.383  2.411  2.677  2.968
 3444.7   00  1.5104 -1.870e-02  4.000  0.900    0.20  2.2171  0.169  3.721  0.754  0.596  1.000  1.788  2.357  2.047  2.379  2.397  2.680  2.966
 2777.0   00  1.5228 -3.478e-02  4.000  0.900    0.20  2.3770  0.181  3.721  0.622  0.775  1.000  2.326  3.438  4.071  4.977  5.448  5.876  5.910
 2320.2   00  1.5226 -7.818e-03  4.000  0.900    0.20  2.6777  0.204  3.721  0.850  0.790  1.000  2.372  3.582  4.222  5.203  5.561  6.164  6.215
 2044.2   00  1.5294 -7.515e-03  4.000  0.900    0.20  2.5442  0.194  3.721  0.851  0.800  1.000  2.400  3.533  4.064  4.848  5.044  5.547  5.605
 1778.4   00  1.5301 -6.588e-03  4.000  0.900    0.20  2.0895  0.159  3.721  0.828  0.753  1.000  2.257  3.134  3.259  3.748  3.705  4.124  4.199
 1455.2   00  1.5300 -5.847e-03  4.000  0.900    0.20  2.4245  0.185  3.721  0.849  0.798  1.000  2.394  3.526  4.068  5.060  5.639  6.596  7.177
 1270.3   00  1.5300 -5.362e-03  4.000  0.900    0.20  2.1785  0.166  3.721  0.830  0.782  1.000  2.346  3.435  3.865  4.823  5.210  6.022  6.295
  944.3   00  1.5300 -2.757e-03  4.000  0.900    0.20  2.1930  0.166  3.721  0.880  0.796  1.000  2.388  3.506  3.933  4.880  5.312  6.286  6.789
  693.5   00  1.5294 -4.138e-03  4.000  0.900    0.20  2.1892  0.166  3.721  0.799  0.839  1.000  2.517  3.751  4.471  5.542  6.262  7.363  8.124
  527.1   00  1.5598 -1.634e-03  4.000  0.900    0.20  2.1208  0.161  3.721  0.880  0.809  1.000  2.428  3.593  4.084  5.156  5.689  6.857  7.424
  399.8   00  1.5800 -3.619e-03  4.000  0.900    0.20  2.1191  0.161  3.721  0.742  0.860  1.000  2.581  3.888  4.815  6.031  7.010  8.301  9.275
  329.1   00  1.6010 -5.361e-03  4.000  0.900    0.20  2.1137  0.161  3.721  0.616  0.908  1.000  2.725  4.273  5.686  7.152  8.583 10.054 11.444
  229.8   00  1.5191 -3.320e-02  4.000  0.900    0.20  2.0943  0.159  3.721  0.538  0.951  1.000  2.854  4.688  6.481  8.244  9.982 11.695 13.387
 7082.2   00  1.4680 -1.212e-01  4.000  0.900    0.20  3.0203  0.229  3.721  0.662  0.811  1.000  2.433  3.081  2.978  2.322  1.422  0.658  0.211
